# Program:featureCounts v2.0.6; Command:"featureCounts" "--extraAttributes" "Name" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "16" "-a" "reference.gff" "-o" "countsSRR10379723.txt" "SRR10379723_trimmed.bam" 
Geneid	Chr	Start	End	Strand	Length	Name	SRR10379723_trimmed.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	SAOUHSC_00001	2763
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	SAOUHSC_00002	2235
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	SAOUHSC_00003	161
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	SAOUHSC_00004	1989
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	SAOUHSC_00005	4963
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	SAOUHSC_00006	6589
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	SAOUHSC_00007	980
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	SAOUHSC_00008	470
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	SAOUHSC_00009	310
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	SAOUHSC_00010	56
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	SAOUHSC_00012	30
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	SAOUHSC_00013	209
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	SAOUHSC_00014	751
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	SAOUHSC_00015	4572
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	SAOUHSC_00017	1144
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	SAOUHSC_00018	1797
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	SAOUHSC_00019	1385
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	SAOUHSC_T00018	10
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	SAOUHSC_T00011	26
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	SAOUHSC_00020	562
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	SAOUHSC_00021	1627
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	SAOUHSC_00022	1873
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	SAOUHSC_00023	1486
